bench,config,threads,block_kb,points,level_5,wall_ms
cpp_compute,O2,1.0,,,p50,28.53435
cpp_compute,O2,1.0,,,p95,30.30155
cpp_compute,O2,1.0,,,p99,31.546519999999994
cpp_compute,O2,1.0,,,mean,28.741007333333332
cpp_compute,O2,4.0,,,p50,8.09535
cpp_compute,O2,4.0,,,p95,9.190904999999994
cpp_compute,O2,4.0,,,p99,12.116975999999983
cpp_compute,O2,4.0,,,mean,8.24821533333333
cpp_compute,O2,8.0,,,p50,6.0691
cpp_compute,O2,8.0,,,p95,8.459754999999994
cpp_compute,O2,8.0,,,p99,10.027730999999992
cpp_compute,O2,8.0,,,mean,6.49423
cpp_compute,O3,1.0,,,p50,28.57235
cpp_compute,O3,1.0,,,p95,29.874585
cpp_compute,O3,1.0,,,p99,30.302075
cpp_compute,O3,1.0,,,mean,28.66022333333333
cpp_compute,O3,4.0,,,p50,8.14115
cpp_compute,O3,4.0,,,p95,9.772119999999994
cpp_compute,O3,4.0,,,p99,13.553409999999964
cpp_compute,O3,4.0,,,mean,8.41467
cpp_compute,O3,8.0,,,p50,5.87635
cpp_compute,O3,8.0,,,p95,7.3291699999999995
cpp_compute,O3,8.0,,,p99,7.927698999999998
cpp_compute,O3,8.0,,,mean,6.085119333333334
lidar_processing,,,,5000.0,p50,20.4815
lidar_processing,,,,5000.0,p95,23.9548
lidar_processing,,,,5000.0,p99,24.75678
lidar_processing,,,,5000.0,mean,21.2762
lidar_processing,,,,10000.0,p50,22.035
lidar_processing,,,,10000.0,p95,23.851049999999997
lidar_processing,,,,10000.0,p99,25.66507
lidar_processing,,,,10000.0,mean,22.352700000000002
lidar_processing,,,,20000.0,p50,35.9
lidar_processing,,,,20000.0,p95,38.73779999999999
lidar_processing,,,,20000.0,p99,40.11059
lidar_processing,,,,20000.0,mean,33.53403333333333
lidar_processing,,,,50000.0,p50,72.15100000000001
lidar_processing,,,,50000.0,p95,84.78824999999999
lidar_processing,,,,50000.0,p99,86.62296
lidar_processing,,,,50000.0,mean,71.20246666666665
py_io,,,4.0,,p50,642.2835
py_io,,,4.0,,p95,736.7881
py_io,,,4.0,,p99,779.21459
py_io,,,4.0,,mean,661.357
py_io,,,64.0,,p50,387.552
py_io,,,64.0,,p95,460.0175
py_io,,,64.0,,p99,488.26716000000005
py_io,,,64.0,,mean,395.29663333333326
py_io,,,512.0,,p50,56.4055
py_io,,,512.0,,p95,75.62229999999998
py_io,,,512.0,,p99,79.47389
py_io,,,512.0,,mean,57.776233333333344
